id,channel,io,value,datetime
6811075,0,1,15.55833,2023-08-31 00:00:34.000000
6811076,0,0,15.59667,2023-08-31 00:00:34.000000
6811077,1,1,15.55556,2023-08-31 00:00:34.000000
6811078,1,0,15.54278,2023-08-31 00:00:34.000000
6811079,0,1,15.55833,2023-08-31 00:01:34.000000
6811080,0,0,15.59167,2023-08-31 00:01:34.000000
6811081,1,1,15.535,2023-08-31 00:01:34.000000
6811082,1,0,15.53222,2023-08-31 00:01:34.000000
6811083,0,1,15.54778,2023-08-31 00:02:34.000000
6811084,0,0,15.58889,2023-08-31 00:02:34.000000
6811085,1,1,15.56833,2023-08-31 00:02:34.000000
6811086,1,0,15.545,2023-08-31 00:02:34.000000
6811087,0,1,15.535,2023-08-31 00:03:34.000000
6811088,0,0,15.58111,2023-08-31 00:03:34.000000
6811089,1,1,15.52722,2023-08-31 00:03:34.000000
6811090,1,0,15.52444,2023-08-31 00:03:34.000000
6811091,0,1,15.56556,2023-08-31 00:07:34.000000
6811092,0,0,15.60444,2023-08-31 00:07:34.000000
6811093,1,1,15.56056,2023-08-31 00:07:34.000000
6811094,1,0,15.55056,2023-08-31 00:07:34.000000
6811095,0,1,15.56056,2023-08-31 00:08:34.000000
6811096,0,0,15.59389,2023-08-31 00:08:34.000000
6811097,1,1,15.56833,2023-08-31 00:08:34.000000
6811098,1,0,15.55056,2023-08-31 00:08:34.000000
6811099,0,1,15.58667,2023-08-31 00:10:34.000000
6811100,0,0,15.63,2023-08-31 00:10:34.000000
6811101,1,1,15.58111,2023-08-31 00:10:34.000000
6811102,1,0,15.57611,2023-08-31 00:10:34.000000
6811103,0,1,15.59167,2023-08-31 00:12:34.000000
6811104,0,0,15.625,2023-08-31 00:12:34.000000
6811105,1,1,15.58667,2023-08-31 00:12:34.000000
6811106,1,0,15.57111,2023-08-31 00:12:34.000000
6811107,0,1,15.625,2023-08-31 00:14:34.000000
6811108,0,0,15.65555,2023-08-31 00:14:34.000000
6811109,1,1,15.60722,2023-08-31 00:14:34.000000
6811110,1,0,15.59667,2023-08-31 00:14:34.000000
6811111,0,1,15.61222,2023-08-31 00:16:34.000000
6811112,0,0,15.66111,2023-08-31 00:16:34.000000
6811113,1,1,15.60944,2023-08-31 00:16:34.000000
6811114,1,0,15.60722,2023-08-31 00:16:34.000000
6811115,0,1,15.625,2023-08-31 00:17:34.000000
6811116,0,0,15.66333,2023-08-31 00:17:34.000000
6811117,1,1,15.60722,2023-08-31 00:17:34.000000
6811118,1,0,15.60167,2023-08-31 00:17:34.000000
6811119,0,1,15.63,2023-08-31 00:20:34.000000
6811120,0,0,15.66889,2023-08-31 00:20:34.000000
6811121,1,1,15.60444,2023-08-31 00:20:34.000000
6811122,1,0,15.60722,2023-08-31 00:20:34.000000
6811123,0,1,15.62778,2023-08-31 00:21:34.000000
6811124,0,0,15.66889,2023-08-31 00:21:34.000000
6811125,1,1,15.625,2023-08-31 00:21:34.000000
6811126,1,0,15.60444,2023-08-31 00:21:34.000000
6811127,0,1,15.62778,2023-08-31 00:24:34.000000
6811128,0,0,15.67111,2023-08-31 00:24:34.000000
6811129,1,1,15.61444,2023-08-31 00:24:34.000000
6811130,1,0,15.60167,2023-08-31 00:24:34.000000
6811131,0,1,15.60722,2023-08-31 00:26:34.000000
6811132,0,0,15.64833,2023-08-31 00:26:34.000000
6811133,1,1,15.63,2023-08-31 00:26:34.000000
6811134,1,0,15.60722,2023-08-31 00:26:34.000000
6811135,0,1,15.60444,2023-08-31 00:28:34.000000
6811136,0,0,15.65333,2023-08-31 00:28:34.000000
6811137,1,1,15.625,2023-08-31 00:28:34.000000
6811138,1,0,15.59944,2023-08-31 00:28:34.000000
6811139,0,1,15.60722,2023-08-31 00:30:34.000000
6811140,0,0,15.65333,2023-08-31 00:30:34.000000
6811141,1,1,15.61444,2023-08-31 00:30:34.000000
6811142,1,0,15.59167,2023-08-31 00:30:34.000000
6811143,0,1,15.60444,2023-08-31 00:31:34.000000
