id,channel,io,value,datetime
6811075,0,1,15.558192927706068,2023-08-31 00:00:34
6811076,0,0,15.559881513811346,2023-08-31 00:00:34
6811077,1,1,15.56142277316074,2023-08-31 00:00:34
6811078,1,0,15.562655930587017,2023-08-31 00:00:34
6811079,0,1,15.56345244967119,2023-08-31 00:01:34
6811080,0,0,15.563729340431488,2023-08-31 00:01:34
6811081,1,1,15.56345708503096,2023-08-31 00:01:34
6811082,1,0,15.562661560153073,2023-08-31 00:01:34
6811086,1,0,15.561420125294513,2023-08-31 00:02:34
6811085,1,1,15.559852716760009,2023-08-31 00:02:34
6811083,0,1,15.558109259903226,2023-08-31 00:02:34
6811084,0,0,15.556354960050413,2023-08-31 00:02:34
6811087,0,1,15.554755071946008,2023-08-31 00:03:34
6811088,0,0,15.55346062271972,2023-08-31 00:03:34
6811089,1,1,15.552596327786313,2023-08-31 00:03:34
6811090,1,0,15.552251639895646,2023-08-31 00:03:34
6811094,1,0,15.552475541297765,2023-08-31 00:07:34
6811093,1,1,15.553275346061033,2023-08-31 00:07:34
6811091,0,1,15.554619435324893,2023-08-31 00:07:34
6811092,0,0,15.556443515691333,2023-08-31 00:07:34
6811095,0,1,15.558659689199049,2023-08-31 00:08:34
6811096,0,0,15.561167375527651,2023-08-31 00:08:34
6811097,1,1,15.563864954676259,2023-08-31 00:08:34
6811098,1,0,15.56666091703252,2023-08-31 00:08:34
6811099,0,1,15.56948332785761,2023-08-31 00:10:34
6811100,0,0,15.572286542866433,2023-08-31 00:10:34
6811101,1,1,15.575054357590217,2023-08-31 00:10:34
6811102,1,0,15.577799135995964,2023-08-31 00:10:34
6811106,1,0,15.580556926822439,2023-08-31 00:12:34
6811103,0,1,15.583379095742567,2023-08-31 00:12:34
6811104,0,0,15.586321506434771,2023-08-31 00:12:34
6811105,1,1,15.589432687072112,2023-08-31 00:12:34
6811110,1,0,15.592742639633661,2023-08-31 00:14:34
6811109,1,1,15.596253934149043,2023-08-31 00:14:34
6811107,0,1,15.599936465818478,2023-08-31 00:14:34
6811108,0,0,15.60372677116212,2023-08-31 00:14:34
6811111,0,1,15.607532168696967,2023-08-31 00:16:34
6811112,0,0,15.611239303632793,2023-08-31 00:16:34
6811113,1,1,15.614726037281903,2023-08-31 00:16:34
6811114,1,0,15.617875125865396,2023-08-31 00:16:34
6811115,0,1,15.620587854302208,2023-08-31 00:17:34
6811116,0,0,15.622795770079884,2023-08-31 00:17:34
6811117,1,1,15.624468904163304,2023-08-31 00:17:34
6811118,1,0,15.625619336561504,2023-08-31 00:17:34
6811119,0,1,15.626299598321195,2023-08-31 00:20:34
6811120,0,0,15.626596110628915,2023-08-31 00:20:34
6811121,1,1,15.6266185440597,2023-08-31 00:20:34
