id,channel,value,datetime
6596623,6,6.769021599837939e-30,2023-08-31 00:00:59
6596624,6,1.313454845046509e-28,2023-08-31 00:01:59
6596625,6,2.6177083692753263e-28,2023-08-31 00:03:00
6596629,6,3.7903005594910263e-28,2023-08-31 00:05:00
6596636,6,4.621469988702715e-28,2023-08-31 00:08:00
6596637,6,4.91027634777035e-28,2023-08-31 00:09:00
6596644,6,4.497651889070682e-28,2023-08-31 00:12:01
6596645,6,3.299914062057987e-28,2023-08-31 00:13:01
6596652,6,1.3376340534538285e-28,2023-08-31 00:16:01
6596653,6,-1.2455984071204084e-28,2023-08-31 00:17:02
6596657,6,-4.179555059926549e-28,2023-08-31 00:19:02
6596661,6,-7.08264575115777e-28,2023-08-31 00:21:03
6596665,6,-9.497700244745444e-28,2023-08-31 00:23:03
6596672,6,-1.0947019383922163e-27,2023-08-31 00:26:04
6596673,6,-1.1002208153456163e-27,2023-08-31 00:27:04
6596680,6,-9.361063325275457e-28,2023-08-31 00:30:04
6596681,6,-5.92106568246267e-28,2023-08-31 00:31:04
6596685,6,-8.373529032116643e-29,2023-08-31 00:33:05
6596692,6,5.44709520227483e-28,2023-08-31 00:36:05
6596693,6,1.2209597705224251e-27,2023-08-31 00:37:05
6596700,6,1.8501048417642154e-27,2023-08-31 00:40:06
6596701,6,2.324556260941551e-27,2023-08-31 00:41:06
6596705,6,2.53807924216232e-27,2023-08-31 00:43:06
6596709,6,2.4025694493081098e-27,2023-08-31 00:45:06
6596713,6,1.8655488003761863e-27,2023-08-31 00:47:06
6596720,6,9.25815751556493e-28,2023-08-31 00:50:07
6596721,6,-3.555681621670149e-28,2023-08-31 00:51:07
6596728,6,-1.851643346719178e-27,2023-08-31 00:54:08
6596729,6,-3.3753814222757046e-27,2023-08-31 00:55:08
6596733,6,-4.696067216200852e-27,2023-08-31 00:57:08
6596737,6,-5.565913017402804e-27,2023-08-31 00:59:09
6596741,6,-5.754928705232783e-27,2023-08-31 01:01:09
6596748,6,-5.090373470548597e-27,2023-08-31 01:03:09
6596749,6,-3.495629722488794e-27,2023-08-31 01:04:10
6596756,6,-1.0223427836692969e-27,2023-08-31 01:08:10
6596757,6,2.1305812984413455e-27,2023-08-31 01:09:11
6596761,6,5.61683698306235e-27,2023-08-31 01:11:11
6596765,6,8.965433199889439e-27,2023-08-31 01:13:11
6596769,6,1.1627547291225442e-26,2023-08-31 01:15:11
6596776,6,1.3045329867112563e-26,2023-08-31 01:17:12
6596777,6,1.2736602831221059e-26,2023-08-31 01:18:12
6596784,6,1.0385649716250543e-26,2023-08-31 01:22:12
6596785,6,5.92728742511345e-27,2023-08-31 01:23:13
6596789,6,-3.9024681695982983e-28,2023-08-31 01:25:13
6596793,6,-7.97781772869453e-27,2023-08-31 01:27:13
6596797,6,-1.5925047031931814e-26,2023-08-31 01:29:14
6596804,6,-2.307397734509863e-26,2023-08-31 01:31:14
6596805,6,-2.814668499667373e-26,2023-08-31 01:32:14
6596812,6,-2.99183943181098e-26,2023-08-31 01:35:15
6596813,6,-2.741880320527656e-26,2023-08-31 01:36:15
6596817,6,-2.013630856949967e-26,2023-08-31 01:39:15
6596821,6,-8.194038969771981e-27,2023-08-31 01:41:16
6596825,6,7.535570531542032e-27,2023-08-31 01:43:16
6596832,6,2.540839204607245e-26,2023-08-31 01:45:17
6596833,6,4.3101299292084173e-26,2023-08-31 01:46:17
