id,channel,io,value,datetime
7284463,0,1,15.60167,2024-01-11 00:00:59.000000
7284464,0,1,15.56056,2024-01-11 00:02:01.000000
7284465,0,1,15.56333,2024-01-11 00:03:01.000000
7284466,0,0,15.625,2024-01-11 00:00:59.000000
7284467,0,0,15.63,2024-01-11 00:02:01.000000
7284468,0,0,15.59389,2024-01-11 00:03:01.000000
7284469,1,1,15.61444,2024-01-11 00:00:59.000000
7284470,1,1,15.58889,2024-01-11 00:02:01.000000
7284471,1,1,15.59167,2024-01-11 00:03:01.000000
7284472,1,0,15.57889,2024-01-11 00:00:59.000000
7284473,1,0,15.56333,2024-01-11 00:02:01.000000
7284474,1,0,15.55833,2024-01-11 00:03:01.000000
7284475,0,1,15.55056,2024-01-11 00:04:01.000000
7284476,0,1,15.61444,2024-01-11 00:05:02.000000
7284477,0,0,15.59167,2024-01-11 00:04:01.000000
7284478,0,0,15.63778,2024-01-11 00:05:02.000000
7284479,1,1,15.57611,2024-01-11 00:04:01.000000
7284480,1,1,15.61444,2024-01-11 00:05:02.000000
7284481,1,0,15.52444,2024-01-11 00:04:01.000000
7284482,1,0,15.56833,2024-01-11 00:05:02.000000
7284483,0,1,15.58389,2024-01-11 00:06:02.000000
7284484,0,1,15.56056,2024-01-11 00:07:02.000000
7284485,0,0,15.63,2024-01-11 00:06:02.000000
7284486,0,0,15.59389,2024-01-11 00:07:02.000000
7284487,1,1,15.58111,2024-01-11 00:06:02.000000
7284488,1,1,15.58889,2024-01-11 00:07:02.000000
7284489,1,0,15.55056,2024-01-11 00:06:02.000000
7284490,1,0,15.56333,2024-01-11 00:07:02.000000
7284491,0,1,15.59167,2024-01-11 00:08:04.000000
7284492,0,0,15.625,2024-01-11 00:08:04.000000
7284493,1,1,15.58389,2024-01-11 00:08:04.000000
7284494,1,0,15.55056,2024-01-11 00:08:04.000000
7284495,0,1,15.545,2024-01-11 00:09:05.000000
7284496,0,1,15.56556,2024-01-11 00:10:05.000000
7284497,0,1,15.55278,2024-01-11 00:11:05.000000
7284498,0,0,15.59667,2024-01-11 00:09:05.000000
7284499,0,0,15.61444,2024-01-11 00:10:05.000000
7284500,0,0,15.60722,2024-01-11 00:11:05.000000
7284501,1,1,15.55833,2024-01-11 00:09:05.000000
7284502,1,1,15.57111,2024-01-11 00:10:05.000000
7284503,1,1,15.56556,2024-01-11 00:11:05.000000
7284504,1,0,15.52222,2024-01-11 00:09:05.000000
7284505,1,0,15.52722,2024-01-11 00:10:05.000000
7284506,1,0,15.535,2024-01-11 00:11:05.000000
7284507,0,1,15.55278,2024-01-11 00:12:07.000000
7284508,0,0,15.64056,2024-01-11 00:12:07.000000
7284509,1,1,15.58667,2024-01-11 00:12:07.000000
7284510,1,0,15.58667,2024-01-11 00:12:07.000000
7284511,0,1,15.59667,2024-01-11 00:13:07.000000
7284512,0,1,15.59944,2024-01-11 00:14:08.000000
7284513,0,1,15.65056,2024-01-11 00:15:08.000000
7284514,0,0,15.66611,2024-01-11 00:13:07.000000
7284515,0,0,15.65833,2024-01-11 00:14:08.000000
7284516,0,0,15.67889,2024-01-11 00:15:08.000000
7284517,1,1,15.62,2024-01-11 00:13:07.000000
7284518,1,1,15.59667,2024-01-11 00:14:08.000000
7284519,1,1,15.65555,2024-01-11 00:15:08.000000
7284520,1,0,15.61444,2024-01-11 00:13:07.000000
7284521,1,0,15.58667,2024-01-11 00:14:08.000000
7284522,1,0,15.62,2024-01-11 00:15:08.000000
7284523,0,1,15.58889,2024-01-11 00:16:10.000000
