id,channel,value,datetime
7068916,1,293.655,2024-01-11 00:00:42.000000
7068917,1,293.656,2024-01-11 00:01:42.000000
7068918,1,293.653,2024-01-11 00:02:42.000000
7068919,1,293.651,2024-01-11 00:03:43.000000
7068920,2,294.337,2024-01-11 00:00:42.000000
7068921,2,294.331,2024-01-11 00:01:42.000000
7068922,2,294.335,2024-01-11 00:02:42.000000
7068923,2,294.334,2024-01-11 00:03:43.000000
7068924,5,294.358,2024-01-11 00:00:42.000000
7068925,5,294.377,2024-01-11 00:01:42.000000
7068926,5,294.364,2024-01-11 00:02:42.000000
7068927,5,294.319,2024-01-11 00:03:43.000000
7068928,6,0,2024-01-11 00:00:42.000000
7068929,6,0,2024-01-11 00:01:42.000000
7068930,6,0,2024-01-11 00:02:42.000000
7068931,6,0,2024-01-11 00:03:43.000000
7068932,1,293.651,2024-01-11 00:04:43.000000
7068933,2,294.33,2024-01-11 00:04:43.000000
7068934,5,294.359,2024-01-11 00:04:43.000000
7068935,6,0,2024-01-11 00:04:43.000000
7068936,1,293.65,2024-01-11 00:05:43.000000
7068937,1,293.649,2024-01-11 00:06:43.000000
7068938,2,294.335,2024-01-11 00:05:43.000000
7068939,2,294.32,2024-01-11 00:06:43.000000
7068940,5,294.373,2024-01-11 00:05:43.000000
7068941,5,294.376,2024-01-11 00:06:43.000000
7068942,6,0,2024-01-11 00:05:43.000000
7068943,6,0,2024-01-11 00:06:43.000000
7068944,1,293.65,2024-01-11 00:07:44.000000
7068945,1,293.647,2024-01-11 00:08:44.000000
7068946,2,294.335,2024-01-11 00:07:44.000000
7068947,2,294.327,2024-01-11 00:08:44.000000
7068948,5,294.382,2024-01-11 00:07:44.000000
7068949,5,294.342,2024-01-11 00:08:44.000000
7068950,6,0,2024-01-11 00:07:44.000000
7068951,6,0,2024-01-11 00:08:44.000000
7068952,1,293.647,2024-01-11 00:09:44.000000
7068953,1,293.648,2024-01-11 00:10:44.000000
7068954,2,294.336,2024-01-11 00:09:44.000000
7068955,2,294.324,2024-01-11 00:10:44.000000
7068956,5,294.325,2024-01-11 00:09:44.000000
7068957,5,294.348,2024-01-11 00:10:44.000000
7068958,6,0,2024-01-11 00:09:44.000000
7068959,6,0,2024-01-11 00:10:44.000000
7068960,1,293.644,2024-01-11 00:11:44.000000
7068961,1,293.646,2024-01-11 00:12:44.000000
7068962,2,294.32,2024-01-11 00:11:44.000000
7068963,2,294.323,2024-01-11 00:12:44.000000
7068964,5,294.353,2024-01-11 00:11:44.000000
7068965,5,294.346,2024-01-11 00:12:44.000000
7068966,6,0,2024-01-11 00:11:44.000000
7068967,6,0,2024-01-11 00:12:44.000000
7068968,1,293.646,2024-01-11 00:13:45.000000
7068969,1,293.644,2024-01-11 00:14:45.000000
7068970,2,294.326,2024-01-11 00:13:45.000000
7068971,2,294.329,2024-01-11 00:14:45.000000
7068972,5,294.346,2024-01-11 00:13:45.000000
7068973,5,294.33,2024-01-11 00:14:45.000000
7068974,6,0,2024-01-11 00:13:45.000000
7068975,6,0,2024-01-11 00:14:45.000000
7068976,1,293.64,2024-01-11 00:15:45.000000
7068977,1,293.644,2024-01-11 00:16:45.000000
7068978,2,294.318,2024-01-11 00:15:45.000000
7068979,2,294.324,2024-01-11 00:16:45.000000
7068980,5,294.339,2024-01-11 00:15:45.000000
7068981,5,294.326,2024-01-11 00:16:45.000000
7068982,6,0,2024-01-11 00:15:45.000000
7068983,6,0,2024-01-11 00:16:45.000000
7068984,1,293.642,2024-01-11 00:17:45.000000
7068985,1,293.642,2024-01-11 00:18:46.000000
7068986,2,294.313,2024-01-11 00:17:45.000000
7068987,2,294.312,2024-01-11 00:18:46.000000
7068988,5,294.325,2024-01-11 00:17:45.000000
7068989,5,294.314,2024-01-11 00:18:46.000000
7068990,6,0,2024-01-11 00:17:45.000000
7068991,6,0,2024-01-11 00:18:46.000000
7068992,1,293.639,2024-01-11 00:19:46.000000
7068993,1,293.641,2024-01-11 00:20:46.000000
7068994,2,294.326,2024-01-11 00:19:46.000000
7068995,2,294.329,2024-01-11 00:20:46.000000
7068996,5,294.328,2024-01-11 00:19:46.000000
7068997,5,294.334,2024-01-11 00:20:46.000000
7068998,6,0,2024-01-11 00:19:46.000000
7068999,6,0,2024-01-11 00:20:46.000000
7069000,1,293.637,2024-01-11 00:21:46.000000
7069001,1,293.638,2024-01-11 00:22:47.000000
7069002,2,294.311,2024-01-11 00:21:46.000000
7069003,2,294.323,2024-01-11 00:22:47.000000
7069004,5,294.315,2024-01-11 00:21:46.000000
7069005,5,294.319,2024-01-11 00:22:47.000000
7069006,6,0,2024-01-11 00:21:46.000000
7069007,6,0,2024-01-11 00:22:47.000000
7069008,1,293.638,2024-01-11 00:23:47.000000
7069009,1,293.635,2024-01-11 00:24:47.000000
7069010,2,294.314,2024-01-11 00:23:47.000000
7069011,2,294.313,2024-01-11 00:24:47.000000
7069012,5,294.332,2024-01-11 00:23:47.000000
7069013,5,294.345,2024-01-11 00:24:47.000000
7069014,6,0,2024-01-11 00:23:47.000000
7069015,6,0,2024-01-11 00:24:47.000000
7069016,1,293.635,2024-01-11 00:25:47.000000
7069017,1,293.633,2024-01-11 00:26:47.000000
7069018,2,294.302,2024-01-11 00:25:47.000000
7069019,2,294.299,2024-01-11 00:26:47.000000
7069020,5,294.297,2024-01-11 00:25:47.000000
7069021,5,294.333,2024-01-11 00:26:47.000000
7069022,6,0,2024-01-11 00:25:47.000000
7069023,6,0,2024-01-11 00:26:47.000000
7069024,1,293.636,2024-01-11 00:27:47.000000
7069025,1,293.634,2024-01-11 00:28:48.000000
7069026,2,294.3,2024-01-11 00:27:47.000000
7069027,2,294.32,2024-01-11 00:28:48.000000
7069028,5,294.323,2024-01-11 00:27:47.000000
7069029,5,294.318,2024-01-11 00:28:48.000000
7069030,6,0,2024-01-11 00:27:47.000000
7069031,6,0,2024-01-11 00:28:48.000000
7069032,1,293.632,2024-01-11 00:29:48.000000
7069033,1,293.633,2024-01-11 00:30:48.000000
7069034,2,294.306,2024-01-11 00:29:48.000000
7069035,2,294.311,2024-01-11 00:30:48.000000
7069036,5,294.307,2024-01-11 00:29:48.000000
7069037,5,294.339,2024-01-11 00:30:48.000000
7069038,6,0,2024-01-11 00:29:48.000000
7069039,6,0,2024-01-11 00:30:48.000000
7069040,1,293.633,2024-01-11 00:31:48.000000
7069041,1,293.629,2024-01-11 00:32:48.000000
7069042,2,294.315,2024-01-11 00:31:48.000000
7069043,2,294.305,2024-01-11 00:32:48.000000
7069044,5,294.333,2024-01-11 00:31:48.000000
7069045,5,294.327,2024-01-11 00:32:48.000000
7069046,6,0,2024-01-11 00:31:48.000000
7069047,6,0,2024-01-11 00:32:48.000000
7069048,1,293.629,2024-01-11 00:33:48.000000
7069049,1,293.631,2024-01-11 00:34:48.000000
7069050,2,294.302,2024-01-11 00:33:48.000000
7069051,2,294.309,2024-01-11 00:34:48.000000
7069052,5,294.313,2024-01-11 00:33:48.000000
7069053,5,294.346,2024-01-11 00:34:48.000000
7069054,6,0,2024-01-11 00:33:48.000000
7069055,6,0,2024-01-11 00:34:48.000000
7069056,1,293.628,2024-01-11 00:35:49.000000
7069057,1,293.627,2024-01-11 00:36:49.000000
7069058,2,294.314,2024-01-11 00:35:49.000000
7069059,2,294.306,2024-01-11 00:36:49.000000
7069060,5,294.313,2024-01-11 00:35:49.000000
7069061,5,294.349,2024-01-11 00:36:49.000000
7069062,6,0,2024-01-11 00:35:49.000000
7069063,6,0,2024-01-11 00:36:49.000000
7069064,1,293.627,2024-01-11 00:37:49.000000
7069065,1,293.626,2024-01-11 00:38:49.000000
7069066,2,294.304,2024-01-11 00:37:49.000000
7069067,2,294.292,2024-01-11 00:38:49.000000
7069068,5,294.329,2024-01-11 00:37:49.000000
7069069,5,294.279,2024-01-11 00:38:49.000000
7069070,6,0,2024-01-11 00:37:49.000000
7069071,6,0,2024-01-11 00:38:49.000000
7069072,1,293.625,2024-01-11 00:39:49.000000
7069073,1,293.623,2024-01-11 00:40:49.000000
7069074,2,294.296,2024-01-11 00:39:49.000000
7069075,2,294.304,2024-01-11 00:40:49.000000
7069076,5,294.322,2024-01-11 00:39:49.000000
7069077,5,294.323,2024-01-11 00:40:49.000000
7069078,6,0,2024-01-11 00:39:49.000000
7069079,6,0,2024-01-11 00:40:49.000000
7069080,1,293.624,2024-01-11 00:41:50.000000
7069081,1,293.623,2024-01-11 00:42:50.000000
7069082,2,294.304,2024-01-11 00:41:50.000000
7069083,2,294.294,2024-01-11 00:42:50.000000
7069084,5,294.269,2024-01-11 00:41:50.000000
7069085,5,294.33,2024-01-11 00:42:50.000000
7069086,6,0,2024-01-11 00:41:50.000000
7069087,6,0,2024-01-11 00:42:50.000000
7069088,1,293.625,2024-01-11 00:43:50.000000
7069089,1,293.621,2024-01-11 00:44:50.000000
7069090,1,293.621,2024-01-11 00:45:51.000000
7069091,2,294.303,2024-01-11 00:43:50.000000
7069092,2,294.3,2024-01-11 00:44:50.000000
7069093,2,294.301,2024-01-11 00:45:51.000000
7069094,5,294.294,2024-01-11 00:43:50.000000
7069095,5,294.333,2024-01-11 00:44:50.000000
7069096,5,294.345,2024-01-11 00:45:51.000000
7069097,6,0,2024-01-11 00:43:50.000000
7069098,6,0,2024-01-11 00:44:50.000000
7069099,6,0,2024-01-11 00:45:51.000000
7069100,1,293.62,2024-01-11 00:46:51.000000
7069101,2,294.299,2024-01-11 00:46:51.000000
7069102,5,294.26,2024-01-11 00:46:51.000000
7069103,6,0,2024-01-11 00:46:51.000000
7069104,1,293.618,2024-01-11 00:47:51.000000
7069105,1,293.618,2024-01-11 00:48:51.000000
7069106,1,293.617,2024-01-11 00:49:51.000000
7069107,2,294.295,2024-01-11 00:47:51.000000
