Cooling Channel 10,Temperature Channel 1,Maxigauge Channel 3
0.88485545,-1.0325173,-0.8154593
0.1644555,-1.0055783,0.18548241
0.95476115,-1.0307728,-0.15875617
0.979576,-1.030048,0.3858274
0.86884505,-1.0394309,-0.7834068
0.038035233,-1.0022862,0.30759802
-0.66771024,-0.9619357,1.0488366
-0.5690086,-0.95382863,1.070894
0.09759393,-1.0020801,0.26553345
0.012941016,-1.001389,0.7467696
0.97881156,-0.8591181,-0.64948756
0.7808561,0.6868427,-1.0566146
0.57269144,0.66596615,-1.0806409
0.99079263,0.46648008,-1.006873
1.0010531,0.63615733,-1.0147759
0.98097044,0.50619876,-1.0405575
0.939193,0.035377193,-1.0170989
0.929715,0.09143915,-1.022367
0.9671706,-0.29526144,-1.0109946
0.9607565,-0.3012415,-1.0123013
0.98587453,-0.69106597,-1.0060616
0.98517054,-0.6947355,-1.0062406
0.9851765,-0.6947006,-1.0062393
0.98519266,-0.6946164,-1.0062343
0.98532385,-0.6939975,-1.0061809
0.98514634,-0.69492984,-1.0062214
0.99037087,-0.66639405,-1.0048746
0.98498684,-0.69236976,-1.006293
0.9851615,-0.69478244,-1.006243
0.98516124,-0.6947833,-1.006243
0.9852356,-0.6943995,-1.0062238
0.98500323,-0.6963168,-1.006018
0.82408863,-1.0360361,-0.716284
0.9851603,-0.6947925,-1.0062417
0.87904125,-1.0371248,-0.80194926
0.0840113,-1.0025154,0.32771066
0.8807911,-1.0357958,-0.80603975
0.46959516,-0.98559225,1.0005506
0.8713086,-1.0397086,-0.78865296
0.8747042,-1.0397886,-0.792169
0.078075424,-1.0022286,0.33554685
-0.56878823,-0.9538965,1.0708704
-0.5725899,-0.9537207,1.0710062
-0.5727315,-0.9537155,1.0710107
-0.5727637,-0.95371294,1.071012
-0.57361233,-0.953771,1.0709049
-0.5726258,-0.9536453,1.0710135
-0.57095283,-0.95281875,1.0710268
-0.023381796,-1.0004171,0.35229924
-0.46171397,-0.92549443,1.0701379
0.8627273,-0.7265866,-0.5048674
0.93734896,-0.90784407,0.5094199
0.40145457,0.32865396,-1.0828893
1.0262363,-0.32911786,-0.9895023
